"","year","month","case","county","date"
"113",2022,9,5726,"SAN DIEGO",2022-09-01
"114",2022,10,3527,"SAN DIEGO",2022-10-01
"115",2022,11,7369,"SAN DIEGO",2022-11-01
"116",2022,12,11839,"SAN DIEGO",2022-12-01
"117",2023,1,5810,"SAN DIEGO",2023-01-01
"118",2023,2,4294,"SAN DIEGO",2023-02-01
"119",2023,3,2845,"SAN DIEGO",2023-03-01
"120",2023,4,1752,"SAN DIEGO",2023-04-01
"121",2023,5,625,"SAN DIEGO",2023-05-01
"122",2020,1,49,"MIAMI-DADE",2020-01-01
"123",2020,2,55,"MIAMI-DADE",2020-02-01
"124",2020,3,3733,"MIAMI-DADE",2020-03-01
"125",2020,4,4903,"MIAMI-DADE",2020-04-01
"126",2020,5,4346,"MIAMI-DADE",2020-05-01
"127",2020,6,7423,"MIAMI-DADE",2020-06-01
"128",2020,7,19325,"MIAMI-DADE",2020-07-01
"129",2020,8,40111,"MIAMI-DADE",2020-08-01
"130",2020,9,20809,"MIAMI-DADE",2020-09-01
"131",2020,10,35103,"MIAMI-DADE",2020-10-01
"132",2020,11,11690,"MIAMI-DADE",2020-11-01
"133",2020,12,20408,"MIAMI-DADE",2020-12-01
"134",2021,1,66023,"MIAMI-DADE",2021-01-01
"135",2021,2,45041,"MIAMI-DADE",2021-02-01
"136",2021,3,30256,"MIAMI-DADE",2021-03-01
"137",2021,4,24269,"MIAMI-DADE",2021-04-01
"138",2021,5,10851,"MIAMI-DADE",2021-05-01
"139",2021,6,7120,"MIAMI-DADE",2021-06-01
"140",2021,7,30167,"MIAMI-DADE",2021-07-01
"141",2021,8,45802,"MIAMI-DADE",2021-08-01
"142",2021,9,14746,"MIAMI-DADE",2021-09-01
"143",2021,10,6088,"MIAMI-DADE",2021-10-01
"144",2021,11,4832,"MIAMI-DADE",2021-11-01
"145",2021,12,79069,"MIAMI-DADE",2021-12-01
"146",2022,1,89645,"MIAMI-DADE",2022-01-01
"147",2022,2,35737,"MIAMI-DADE",2022-02-01
"148",2022,3,7240,"MIAMI-DADE",2022-03-01
"149",2022,4,10919,"MIAMI-DADE",2022-04-01
"150",2022,5,27731,"MIAMI-DADE",2022-05-01
"151",2022,6,29764,"MIAMI-DADE",2022-06-01
"152",2022,7,24648,"MIAMI-DADE",2022-07-01
"153",2022,8,13407,"MIAMI-DADE",2022-08-01
"154",2022,9,5379,"MIAMI-DADE",2022-09-01
"155",2022,10,3181,"MIAMI-DADE",2022-10-01
"156",2022,11,4828,"MIAMI-DADE",2022-11-01
"157",2022,12,9295,"MIAMI-DADE",2022-12-01
"158",2023,1,15124,"MIAMI-DADE",2023-01-01
"159",2023,2,6290,"MIAMI-DADE",2023-02-01
"160",2023,3,5216,"MIAMI-DADE",2023-03-01
"161",2023,4,4049,"MIAMI-DADE",2023-04-01
"162",2023,5,1718,"MIAMI-DADE",2023-05-01
